"Available in FB Pixel Plus Only' 'FB Pixel Plus","Disponível apenas no FB Pixel Plus' 'FB Pixel Plus"
"Available in FB Pixel Extra Only' 'FB Pixel Extra","Disponível apenas no FB Pixel Extra' 'FB Pixel Extra"
"Facebook Pixel Section","Secção do Facebook Pixel"
"Facebook Pixel","Facebook Pixel"
"General","Geral"
"Enable Extension","Ativar extensão"
"Product Key","Chave do produto"
"Facebook Pixel ID","Facebook Pixel ID"
"Please get the Facebook Pixel ID from the Events Manager page.","Obtenha o Facebook Pixel ID na página do Events Manager."
"Events","Eventos"
"Conversion API (Extra)","Conversion API (Extra)"
"Enable Conversions API","Ativar Conversions API"
"Access Token","Token de acesso"
"Product Attributes Mapping","Mapeamento de atributos de produtos"
"Product Identifier","Identificador de produto"
"Include Categories","Incluir categorias"
"<strong class=""colorRed"">Warning!</strong> Enabling this option may cause the performance impact.","<strong class=""colorRed"">Atenção!</strong> Ativar esta opção pode ter impacto no desempenho."
"Page Speed Optimization","Otimização da velocidade da página"
"Enable Deferred Script Load","Ativar carregamento diferido de script"
"If enabled Facebook Pixel JavaScript will be loaded only after users first click, scroll, or mouse touch. It is recommended to keep it enabled for better page speed performance.","Se ativado, o JavaScript do Facebook Pixel será carregado apenas após o primeiro clique, deslocamento ou toque do rato do utilizador. Recomenda-se mantê-lo ativado para melhor desempenho de velocidade de página."
"GDPR/CCPA/LGPD (Customer Data Protection Regulation)","GDPR/CCPA/LGPD (Regulamento de Proteção de Dados do Cliente)"
"Protect Customer Data","Proteger dados do cliente"
"When enabled, data won't be sent to Facebook, until the customer provides consent.","Quando ativado, os dados não serão enviados para o Facebook até que o cliente forneça consentimento."
"You cannot change this option.","Não pode alterar esta opção."
"This option is available in <strong>Extra</strong> plan only.","Esta opção está disponível apenas no plano <strong>Extra</strong>."
"This option is available in <strong>Plus or Extra</strong> plans only.","Esta opção está disponível apenas nos planos <strong>Plus ou Extra</strong>."
"Conversion API is available in <strong>Extra</strong> plans only.","A Conversion API está disponível apenas nos planos <strong>Extra</strong>."
"Available in FB Pixel Plus Only","Disponível apenas no FB Pixel Plus"
"Available in FB Pixel Extra Only","Disponível apenas no FB Pixel Extra"
"Upgrade Plan Now","Atualizar plano agora"
